movieCd,movieNm,w1,w2,w3,w4
20157042,셜록: 유령신부,2016-01-09,2016-01-16,2016-01-23,2016-01-30
20153087,포인트 브레이크,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20155422,굿 다이노,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20142641,나를 잊지 말아요,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20158882,유스,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20159510,헤이트풀8,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20152370,잡아야 산다,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20154001,레버넌트: 죽음에서 돌아온 자,2016-01-21,2016-01-28,2016-02-04,2016-02-11
20157158,구스범스,2016-01-21,2016-01-28,2016-02-04,2016-02-11
20068576,그날의 분위기,2016-01-21,2016-01-28,2016-02-04,2016-02-11
20158483,오빠생각,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20150566,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20159199,빅쇼트,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20150461,스티브 잡스,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20157466,"로봇, 소리",2016-02-03,2016-02-10,2016-02-17,2016-02-24
20151803,쿵푸팬더3,2016-02-04,2016-02-11,2016-02-18,2016-02-25
20159445,세기의 매치,2016-02-04,2016-02-11,2016-02-18,2016-02-25
20145507,검사외전,2016-02-10,2016-02-17,2016-02-24,2016-03-02
20159657,최강전사 미니특공대: 영웅의 탄생,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20150942,캐롤,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20159059,앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20156080,나쁜놈은 죽는다,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20150456,드레스메이커,2016-02-18,2016-02-25,2016-03-03,2016-03-10
20150725,극장판 아이엠스타 : 꿈의 오디션!,2016-02-18,2016-02-25,2016-03-03,2016-03-10
20150903,번개맨,2016-02-18,2016-02-25,2016-03-03,2016-03-10
20155501,주토피아,2016-02-24,2016-03-02,2016-03-09,2016-03-16
20150977,좋아해줘,2016-02-24,2016-03-02,2016-03-09,2016-03-16
20153781,데드풀,2016-02-24,2016-03-02,2016-03-09,2016-03-16
20158482,동주,2016-02-24,2016-03-02,2016-03-09,2016-03-16
20155020,대니쉬 걸,2016-02-24,2016-03-02,2016-03-09,2016-03-16
20151111,빌리와 용감한 녀석들: 치킨 히어로,2016-02-24,2016-03-02,2016-03-09,2016-03-16
20150565,스포트라이트,2016-03-02,2016-03-09,2016-03-16,2016-03-23
20161364,귀향,2016-03-02,2016-03-09,2016-03-16,2016-03-23
20151021,순정,2016-03-02,2016-03-09,2016-03-16,2016-03-23
20161382,레터스 투 갓,2016-03-03,2016-03-10,2016-03-17,2016-03-24
20161745,제 5침공,2016-03-03,2016-03-10,2016-03-17,2016-03-24
20145502,남과 여,2016-03-03,2016-03-10,2016-03-17,2016-03-24
20161630,13시간,2016-03-10,2016-03-17,2016-03-24,2016-03-31
20156063,룸,2016-03-10,2016-03-17,2016-03-24,2016-03-31
20159162,갓 오브 이집트,2016-03-10,2016-03-17,2016-03-24,2016-03-31
20145396,널 기다리며,2016-03-17,2016-03-24,2016-03-31,2016-04-07
20151884,런던 해즈 폴른,2016-03-17,2016-03-24,2016-03-31,2016-04-07
20161781,엽문3: 최후의 대결,2016-03-17,2016-03-24,2016-03-31,2016-04-07
20158529,조이,2016-03-17,2016-03-24,2016-03-31,2016-04-07
20162381,일사각오,2016-03-24,2016-03-31,2016-04-07,2016-04-14
20161881,부활,2016-03-24,2016-03-31,2016-04-07,2016-04-14
20161583,스푹스:MI5,2016-03-24,2016-03-31,2016-04-07,2016-04-14
20161968,오 마이 그랜파,2016-03-24,2016-03-31,2016-04-07,2016-04-14
20152781,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-31,2016-04-07,2016-04-14,2016-04-21
20159643,글로리데이,2016-03-31,2016-04-07,2016-04-14,2016-04-21
20161921,"헤일, 시저!",2016-03-31,2016-04-07,2016-04-14,2016-04-21
20150902,대배우,2016-04-06,2016-04-13,2016-04-20,2016-04-27
20161905,나의 그리스식 웨딩 2,2016-04-06,2016-04-13,2016-04-20,2016-04-27
20162001,포레스트: 죽음의 숲,2016-04-06,2016-04-13,2016-04-20,2016-04-27
20161594,마음이 외치고 싶어해,2016-04-06,2016-04-13,2016-04-20,2016-04-27
20162161,미스컨덕트,2016-04-06,2016-04-13,2016-04-20,2016-04-27
20152782,"날, 보러와요",2016-04-14,2016-04-21,2016-04-28,2016-05-05
20162065,클로버필드 10번지,2016-04-14,2016-04-21,2016-04-28,2016-05-05
20161964,독수리 에디,2016-04-14,2016-04-21,2016-04-28,2016-05-05
20162245,33,2016-04-14,2016-04-21,2016-04-28,2016-05-05
20161870,트럼보,2016-04-14,2016-04-21,2016-04-28,2016-05-05
20150470,라스트 홈,2016-04-14,2016-04-21,2016-04-28,2016-05-05
20145506,해어화,2016-04-20,2016-04-27,2016-05-04,2016-05-11
20142621,시간이탈자,2016-04-20,2016-04-27,2016-05-04,2016-05-11
20158984,헌츠맨: 윈터스 워,2016-04-20,2016-04-27,2016-05-04,2016-05-11
20162431,극장판 프랭키와 친구들: 생명의 나무,2016-04-20,2016-04-27,2016-05-04,2016-05-11
20145182,4등,2016-04-20,2016-04-27,2016-05-04,2016-05-11
20162321,트리플 9,2016-04-27,2016-05-04,2016-05-11,2016-05-18
20162206,브루클린,2016-04-28,2016-05-05,2016-05-12,2016-05-19
20162621,파라노말 액티비티: 더 고스트 디멘션,2016-04-28,2016-05-05,2016-05-12,2016-05-19
20159641,위대한 소원,2016-04-28,2016-05-05,2016-05-12,2016-05-19
20159364,캡틴 아메리카: 시빌 워,2016-05-04,2016-05-11,2016-05-18,2016-05-25
20161842,태양 아래,2016-05-04,2016-05-11,2016-05-18,2016-05-25
20162299,시크릿 인 데어 아이즈,2016-05-04,2016-05-11,2016-05-18,2016-05-25
20142406,탐정 홍길동: 사라진 마을,2016-05-11,2016-05-18,2016-05-25,2016-06-01
20162300,매직브러시,2016-05-11,2016-05-18,2016-05-25,2016-06-01
20162542,다이노소어 어드벤처 : 백악기 공룡대백과,2016-05-11,2016-05-18,2016-05-25,2016-06-01
20162704,극장판 안녕 자두야,2016-05-11,2016-05-18,2016-05-25,2016-06-01
20162461,다이노X 탐험대,2016-05-11,2016-05-18,2016-05-25,2016-06-01
20158888,45년 후,2016-05-12,2016-05-19,2016-05-26,2016-06-02
20163137,나의 소녀시대,2016-05-19,2016-05-26,2016-06-02,2016-06-09
20140194,곡성,2016-05-19,2016-05-26,2016-06-02,2016-06-09
20143509,엽기적인 그녀 2,2016-05-19,2016-05-26,2016-06-02,2016-06-09
20162627,다이버전트 시리즈: 얼리전트,2016-05-19,2016-05-26,2016-06-02,2016-06-09
20156559,계춘할망,2016-05-26,2016-06-02,2016-06-09,2016-06-16
20163018,싱 스트리트,2016-05-26,2016-06-02,2016-06-09,2016-06-16
20156207,앵그리버드 더 무비,2016-05-26,2016-06-02,2016-06-09,2016-06-16
20163182,하드코어 헨리,2016-05-26,2016-06-02,2016-06-09,2016-06-16
20163322,동급생,2016-05-26,2016-06-02,2016-06-09,2016-06-16
20163441,몽키킹2: 서유기 여정의 시작,2016-05-26,2016-06-02,2016-06-09,2016-06-16
20150523,엑스맨: 아포칼립스,2016-06-01,2016-06-08,2016-06-15,2016-06-22
20162569,오베라는 남자,2016-06-01,2016-06-08,2016-06-15,2016-06-22
20153182,썸니아,2016-06-01,2016-06-08,2016-06-15,2016-06-22
20144444,아가씨,2016-06-08,2016-06-15,2016-06-22,2016-06-29
20163215,미 비포 유,2016-06-08,2016-06-15,2016-06-22,2016-06-29
20158242,무서운 이야기 3 : 화성에서 온 소녀,2016-06-08,2016-06-15,2016-06-22,2016-06-29
20162925,더 보이,2016-06-08,2016-06-15,2016-06-22,2016-06-29
20163201,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,2016-06-09,2016-06-16,2016-06-23,2016-06-30
20163841,플래그 더 문,2016-06-09,2016-06-16,2016-06-23,2016-06-30
20158150,워크래프트: 전쟁의 서막,2016-06-16,2016-06-23,2016-06-30,2016-07-07
20162941,컨저링 2,2016-06-16,2016-06-23,2016-06-30,2016-07-07
20162967,정글북,2016-06-16,2016-06-23,2016-06-30,2016-07-07
20163164,본 투 비 블루,2016-06-16,2016-06-23,2016-06-30,2016-07-07
20163981,극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016-06-16,2016-06-23,2016-06-30,2016-07-07
20159645,특별수사: 사형수의 편지,2016-06-23,2016-06-30,2016-07-07,2016-07-14
20150385,닌자터틀 : 어둠의 히어로,2016-06-23,2016-06-30,2016-07-07,2016-07-14
19818004,불의 전차,2016-06-23,2016-06-30,2016-07-07,2016-07-14
20150782,인디펜던스 데이 : 리써전스,2016-06-29,2016-07-06,2016-07-13,2016-07-20
20163202,크리미널,2016-06-29,2016-07-06,2016-07-13,2016-07-20
20140704,비밀은 없다,2016-06-30,2016-07-07,2016-07-14,2016-07-21
20150972,굿바이 싱글,2016-07-06,2016-07-13,2016-07-20,2016-07-27
20154906,사냥,2016-07-06,2016-07-13,2016-07-20,2016-07-27
20163661,레전드 오브 타잔,2016-07-06,2016-07-13,2016-07-20,2016-07-27
20159058,도리를 찾아서,2016-07-13,2016-07-20,2016-07-27,2016-08-03
20159644,봉이 김선달,2016-07-13,2016-07-20,2016-07-27,2016-08-03
20163962,잔예 - 살아서는 안되는 방,2016-07-14,2016-07-21,2016-07-28,2016-08-04
20150203,나우 유 씨 미 2,2016-07-20,2016-07-27,2016-08-03,2016-08-10
20165201,언더 워터,2016-07-20,2016-07-27,2016-08-03,2016-08-10
20163961,데몰리션,2016-07-20,2016-07-27,2016-08-03,2016-08-10
20158982,트릭,2016-07-20,2016-07-27,2016-08-03,2016-08-10
20162572,더 웨이브,2016-07-20,2016-07-27,2016-08-03,2016-08-10
20165130,나의 산티아고,2016-07-21,2016-07-28,2016-08-04,2016-08-11
20156564,부산행,2016-07-27,2016-08-03,2016-08-10,2016-08-17
20161286,아이스 에이지: 지구 대충돌,2016-07-27,2016-08-03,2016-08-10,2016-08-17
20164521,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-27,2016-08-03,2016-08-10,2016-08-17
20156250,인천상륙작전,2016-08-03,2016-08-10,2016-08-17,2016-08-24
20163189,태풍이 지나가고,2016-08-03,2016-08-10,2016-08-17,2016-08-24
20161907,제이슨 본,2016-08-03,2016-08-10,2016-08-17,2016-08-24
20165561,빅,2016-08-03,2016-08-10,2016-08-17,2016-08-24
20152963,수어사이드 스쿼드,2016-08-10,2016-08-17,2016-08-24,2016-08-31
20156082,마이펫의 이중생활,2016-08-10,2016-08-17,2016-08-24,2016-08-31
20150979,덕혜옹주,2016-08-10,2016-08-17,2016-08-24,2016-08-31
20162002,명탐정 코난: 순흑의 악몽,2016-08-10,2016-08-17,2016-08-24,2016-08-31
20150968,국가대표 2,2016-08-17,2016-08-24,2016-08-31,2016-09-07
20154910,터널,2016-08-17,2016-08-24,2016-08-31,2016-09-07
20165961,슈퍼 프렌즈,2016-08-17,2016-08-24,2016-08-31,2016-09-07
20165281,마이 리틀 자이언트,2016-08-17,2016-08-24,2016-08-31,2016-09-07
20167041,킹 오브 프리즘,2016-08-18,2016-08-25,2016-09-01,2016-09-08
20148460,서울역,2016-08-24,2016-08-31,2016-09-07,2016-09-14
20163043,갤럭시 히어로즈: 라쳇 앤 클랭크,2016-08-24,2016-08-31,2016-09-07,2016-09-14
20150567,스타트렉 비욘드,2016-08-24,2016-08-31,2016-09-07,2016-09-14
20165981,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016-08-24,2016-08-31,2016-09-07,2016-09-14
20163217,라이트 아웃,2016-08-31,2016-09-07,2016-09-14,2016-09-21
20166901,플로렌스,2016-08-31,2016-09-07,2016-09-14,2016-09-21
20162404,고스트버스터즈,2016-09-01,2016-09-08,2016-09-15,2016-09-22
20150901,올레,2016-09-01,2016-09-08,2016-09-15,2016-09-22
20167261,메카닉: 리크루트,2016-09-07,2016-09-14,2016-09-21,2016-09-28
20168182,머니 몬스터,2016-09-07,2016-09-14,2016-09-21,2016-09-28
20167563,이퀄스,2016-09-07,2016-09-14,2016-09-21,2016-09-28
20162968,거울나라의 앨리스,2016-09-14,2016-09-21,2016-09-28,2016-10-05
20159648,"고산자, 대동여지도",2016-09-14,2016-09-21,2016-09-28,2016-10-05
20159646,밀정,2016-09-14,2016-09-21,2016-09-28,2016-10-05
20165941,로빈슨 크루소,2016-09-14,2016-09-21,2016-09-28,2016-10-05
20166721,장난감이 살아있다,2016-09-14,2016-09-21,2016-09-28,2016-10-05
20166541,달빛궁궐,2016-09-14,2016-09-21,2016-09-28,2016-10-05
20167154,드림 쏭,2016-09-21,2016-09-28,2016-10-05,2016-10-12
20163294,매그니피센트 7,2016-09-21,2016-09-28,2016-10-05,2016-10-12
20167839,벤허,2016-09-21,2016-09-28,2016-10-05,2016-10-12
20168401,카페 소사이어티,2016-09-21,2016-09-28,2016-10-05,2016-10-12
20168721,아이엠스타 뮤직어워드,2016-09-21,2016-09-28,2016-10-05,2016-10-12
20169122,아이 엠 어 히어로,2016-09-28,2016-10-05,2016-10-12,2016-10-19
20162022,대결,2016-09-29,2016-10-06,2016-10-13,2016-10-20
20163184,뉴 스텝업: 어반댄스,2016-09-29,2016-10-06,2016-10-13,2016-10-20
20168885,브리짓 존스의 베이비,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20168891,설리: 허드슨강의 기적,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20164501,미스 페레그린과 이상한 아이들의 집,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20153443,아수라,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20160143,피터와 드래곤,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20168361,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20164094,립반윙클의 신부,2016-10-05,2016-10-12,2016-10-19,2016-10-26
20169764,백설공주 : 사라진 아빠를 찾아서,2016-10-06,2016-10-13,2016-10-20,2016-10-27
20160761,돈 맛,2016-10-06,2016-10-13,2016-10-20,2016-10-27
20167481,맨 인 더 다크,2016-10-12,2016-10-19,2016-10-26,2016-11-02
20168822,디시에르토,2016-10-12,2016-10-19,2016-10-26,2016-11-02
20161589,죽여주는 여자,2016-10-13,2016-10-20,2016-10-27,2016-11-03
20167867,그물,2016-10-13,2016-10-20,2016-10-27,2016-11-03
20153444,럭키,2016-10-20,2016-10-27,2016-11-03,2016-11-10
20163041,자백,2016-10-20,2016-10-27,2016-11-03,2016-11-10
20168501,바스티유 데이,2016-10-20,2016-10-27,2016-11-03,2016-11-10
20160203,어카운턴트,2016-10-20,2016-10-27,2016-11-03,2016-11-10
20160261,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-20,2016-10-27,2016-11-03,2016-11-10
20169028,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-20,2016-10-27,2016-11-03,2016-11-10
20156007,인페르노,2016-10-26,2016-11-02,2016-11-09,2016-11-16
20169986,미스터 캣,2016-10-26,2016-11-02,2016-11-09,2016-11-16
20151022,걷기왕,2016-10-27,2016-11-03,2016-11-10,2016-11-17
20161201,키즈모노가타리 II : 열혈편,2016-10-27,2016-11-03,2016-11-10,2016-11-17
20162545,"무현, 두 도시 이야기",2016-11-02,2016-11-09,2016-11-16,2016-11-23
20163181,닥터 스트레인지,2016-11-02,2016-11-09,2016-11-16,2016-11-23
20150564,혼숨,2016-11-02,2016-11-09,2016-11-16,2016-11-23
20160781,쿠보와 전설의 악기,2016-11-02,2016-11-09,2016-11-16,2016-11-23
20160862,선생님의 일기,2016-11-09,2016-11-16,2016-11-23,2016-11-30
20161796,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016-11-10,2016-11-17,2016-11-24,2016-12-01
20161527,로스트 인 더스트,2016-11-10,2016-11-17,2016-11-24,2016-12-01
20162609,인어공주 : 새로운 모험의 시작,2016-11-10,2016-11-17,2016-11-24,2016-12-01
20161165,무한대를 본 남자,2016-11-10,2016-11-17,2016-11-24,2016-12-01
20163521,스플릿,2016-11-16,2016-11-23,2016-11-30,2016-12-07
20161843,위자: 저주의 시작,2016-11-16,2016-11-23,2016-11-30,2016-12-07
20162147,세상에서 고양이가 사라진다면,2016-11-16,2016-11-23,2016-11-30,2016-12-07
20162504,감바의 대모험,2016-11-17,2016-11-24,2016-12-01,2016-12-08
20169730,당신자신과 당신의 것,2016-11-17,2016-11-24,2016-12-01,2016-12-08
20163155,바후발리 : 더 비기닝,2016-11-17,2016-11-24,2016-12-01,2016-12-08
20162365,신비한 동물사전,2016-11-23,2016-11-30,2016-12-07,2016-12-14
20154905,가려진 시간,2016-11-23,2016-11-30,2016-12-07,2016-12-14
20162629,하이큐!! 끝과 시작,2016-11-23,2016-11-30,2016-12-07,2016-12-14
20162928,카페 6,2016-11-23,2016-11-30,2016-12-07,2016-12-14
20161603,순종,2016-11-24,2016-12-01,2016-12-08,2016-12-15
20164169,드래곤 네스트: 평화 기사단 VS 블랙 드래곤,2016-11-24,2016-12-01,2016-12-08,2016-12-15
20159286,연애담,2016-11-24,2016-12-01,2016-12-08,2016-12-15
20154661,형,2016-11-30,2016-12-07,2016-12-14,2016-12-21
20161162,블레어 위치,2016-11-30,2016-12-07,2016-12-14,2016-12-21
20163824,미스 사이공 : 25주년 특별 공연,2016-12-01,2016-12-08,2016-12-15,2016-12-22
20163903,리틀메딕: 몸속탐험대,2016-12-01,2016-12-08,2016-12-15,2016-12-22
20162787,테일 오브 테일즈,2016-12-01,2016-12-08,2016-12-15,2016-12-22
20166363,잭 리처: 네버 고 백,2016-12-07,2016-12-14,2016-12-21,2016-12-28
20160472,두 남자,2016-12-07,2016-12-14,2016-12-21,2016-12-28
20153741,미씽: 사라진 여자,2016-12-07,2016-12-14,2016-12-21,2016-12-28
20162207,도성풍운 3,2016-12-07,2016-12-14,2016-12-21,2016-12-28
20161605,언더월드: 블러드 워,2016-12-07,2016-12-14,2016-12-21,2016-12-28
20167628,캡틴 판타스틱,2016-12-07,2016-12-14,2016-12-21,2016-12-28
20166462,신밧드 더 무비,2016-12-08,2016-12-15,2016-12-22,2016-12-29
20167904,라라랜드,2016-12-14,2016-12-21,2016-12-28,2017-01-04
20144641,판도라,2016-12-14,2016-12-21,2016-12-28,2017-01-04
20163884,아기배달부 스토크,2016-12-14,2016-12-21,2016-12-28,2017-01-04
20161763,"나, 다니엘 블레이크",2016-12-15,2016-12-22,2016-12-29,2017-01-05
20162382,원피스 필름 골드,2016-12-15,2016-12-22,2016-12-29,2017-01-05
20157064,커튼콜,2016-12-15,2016-12-22,2016-12-29,2017-01-05
20163856,호비와 동화나라 대모험,2016-12-15,2016-12-22,2016-12-29,2017-01-05
20152371,"당신, 거기 있어줄래요",2016-12-21,2016-12-28,2017-01-04,2017-01-11
20155223,목숨 건 연애,2016-12-21,2016-12-28,2017-01-04,2017-01-11
20164388,스노우타임,2016-12-22,2016-12-29,2017-01-05,2017-01-12
20161725,마스터,2016-12-28,2017-01-04,2017-01-11,2017-01-18
20162025,씽,2016-12-28,2017-01-04,2017-01-11,2017-01-18
20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-28,2017-01-04,2017-01-11,2017-01-18
20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-29,2017-01-05,2017-01-12,2017-01-19
20160221,에곤 쉴레: 욕망이 그린 그림,2016-12-29,2017-01-05,2017-01-12,2017-01-19
20163183,로그 원: 스타워즈 스토리,2017-01-04,2017-01-11,2017-01-18,2017-01-25
20162727,루돌프와 많이있어,2017-01-04,2017-01-11,2017-01-18,2017-01-25
20165543,하이큐!! 승자와 패자,2017-01-04,2017-01-11,2017-01-18,2017-01-25
20161872,너의 이름은,2017-01-11,2017-01-18,2017-01-25,2017-02-01
20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-11,2017-01-18,2017-01-25,2017-02-01
20150966,사랑하기 때문에,2017-01-11,2017-01-18,2017-01-25,2017-02-01
20161084,패신저스,2017-01-11,2017-01-18,2017-01-25,2017-02-01
20151181,여교사,2017-01-11,2017-01-18,2017-01-25,2017-02-01
20164421,어쌔신 크리드,2017-01-18,2017-01-25,2017-02-01,2017-02-08
20168381,얼라이드,2017-01-18,2017-01-25,2017-02-01,2017-02-08
20168324,반지의 제왕 : 반지원정대 (확장판),2017-01-18,2017-01-25,2017-02-01,2017-02-08
20165443,모아나,2017-01-19,2017-01-26,2017-02-02,2017-02-09
20163014,7년-그들이 없는 언론,2017-01-19,2017-01-26,2017-02-02,2017-02-09
