,movieCd,movieNm,point,viewer
6755,20139601,더 퍼지,미국,"59,881 명"
6759,20133760,세이프 헤이븐,8.54,"40,815 명"
6769,20134413,소녀,일본,"20,599 명"
6778,20134073,디스커넥트,8.53,0
6819,20135428,어바웃 타임,9.17,"3,431,882 명"
6827,20135343,투건스,7.16,"7,806 명"
6831,20134801,더 파이브,6.19,"731,212 명"
6835,20133152,카운슬러,7.19,"133,272 명"
6837,20131245,블랙 가스펠,9.08,"1,353 명"
6849,20134705,맛있는 사랑공식-섹스,3.50,"5,460 명"
6859,19918269,터미네이터 2 : 심판의 날 감독판,9.43,"14,391 명"
6898,20124402,열한시,6.45,"870,785 명"
6899,20138544,헝거게임: 캣칭 파이어,8.32,"1,127,373 명"
6905,20133701,하늘에서 음식이 내린다면 2,8.09,"800,062 명"
6908,20110881,창수,7.12,"429,141 명"
6929,20131263,사이비,8.78,"22,526 명"
6948,20132824,리딕,7.35,"132,059 명"
6949,20135367,오싱,7.89,"74,108 명"
6976,20134268,버틀러: 대통령의 집사,8.59,"126,870 명"
7009,20135443,산타의 매직 크리스탈,7.33,"60,747 명"
7041,20135657,인시디어스: 두번째 집,7.24,"577,758 명"
7044,20135370,이스케이프 플랜,미국,"1,276 명"
7100,20134123,집으로 가는 길,"싱가포르, 일본","1,854,711 명"
7109,20134803,변호인,8.99,"11,375,123 명"
7110,20134267,호빗: 스마우그의 폐허,8.48,"2,282,744 명"
7149,20135365,코비: 블루 엘리펀트의 전설,8.54,0
7158,20139981,캐치미,한국,"494,126 명"
7168,20124938,용의자,8.37,25 명
7185,20134984,다이노소어 어드벤처 3D,8.99,"599,963 명"
7186,20136308,비행기,스페인,"233,557 명"
7187,20135427,세이빙 산타,7.82,"235,684 명"
7189,20133704,그렇게 아버지가 된다,8.87,"127,081 명"
7228,20131246,엔더스 게임,7.17,"654,212 명"
7229,20134046,월터의 상상은 현실이 된다,8.72,"957,127 명"
7236,20134206,썬더와 마법저택,8.78,"904,143 명"
7306,20135369,저스틴,7.86,"266,475 명"
7339,20138224,플랜맨,8.17,"635,740 명"
7393,20134592,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",8.94,"321,602 명"
7394,20134533,타잔 3D,7.58,"598,204 명"
7395,20136812,더 울프 오브 월스트리트,8.07,"586,587 명"
7439,20136575,배틀 오브 비보이,7.60,"34,261 명"
7457,20136894,살인자,5.85,"88,199 명"
7460,20136803,겨울왕국,9.12,"13,747,615 명"
7462,20136337,잭 라이언 : 코드네임 쉐도우,7.39,"327,591 명"
7521,20139881,피끓는 청춘,7.62,"1,676,040 명"
7522,20131102,수상한 그녀,9.00,"8,660,623 명"
7523,20137043,남자가 사랑할 때,한국,"1,980,120 명"
7536,20136860,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,7.55,"59,611 명"
7539,20126090,조선미녀삼총사,4.03,"480,361 명"
7575,20122787,또 하나의 약속,9.27,"497,994 명"
7585,20130561,관능의 법칙,7.64,"781,516 명"
7596,20136800,넛잡: 땅콩 도둑들,6.71,0
7597,20147250,폴리스 스토리 2014,8.01,"153,591 명"
7598,20133585,인사이드 르윈 ,8.15,"106,729 명"
7609,20147161,디노타샤: 공룡대탐험,6.66,"23,530 명"
7649,20147301,굿모닝 맨하탄,8.89,"31,655 명"
7659,20136292,"가장 따뜻한 색, 블루",8.78,"53,339 명"
7669,20136043,신이 보낸 사람,8.07,"424,849 명"
7673,20147096,프랑켄슈타인: 불멸의 영웅,6.22,"299,205 명"
7678,20136445,레고 무비,8.46,"88,392 명"
7741,20134587,로보캅,미국,1 명
7747,20068659,명탐정 코난 : 탐정들의 진혼가 ,8.77,0
7759,20147372,슈퍼노바 지구 탈출기,8.85,"37,547 명"
7810,20139401,찌라시: 위험한 소문,7.52,"1,221,420 명"
7811,20134028,폼페이: 최후의 날,7.44,"1,373,873 명"
7817,20136887,아메리칸 허슬,7.52,"155,746 명"
7819,20147282,우리별 일호와 얼룩소,6.81,"44,411 명"
7869,20134070,어네스트와 셀레스틴,9.03,"49,743 명"
7880,20147299,논스톱,6.91,163 명
7885,20136866,노예 12년,8.55,"499,038 명"
7887,20147430,모뉴먼츠 맨: 세기의 작전,7.01,"71,483 명"
7889,20147584,스턱 인 러브,8.33,"15,147 명"
7950,20147247,300: 제국의 부활,7.17,"1,593,116 명"
7956,20133603,다이애나,"프랑스, 미국","59,243 명"
7958,20147625,달라스 바이어스 클럽,8.83,"70,801 명"
8020,20136060,몬스터,미국,0
8021,20138226,우아한 거짓말,8.36,"1,619,983 명"
8026,20147693,원 챈스,8.30,"81,025 명"
8029,20147695,엔들리스 러브,7.56,"22,091 명"
8049,20147904,"하늘을 나는 강아지, 비포와 친구들",6.17,0
8067,20147872,프라이버시,한국,"16,936 명"
8090,20133602,노아,6.07,"1,227 명"
8095,20147727,그랜드 부다페스트 호텔,8.39,"820,322 명"
8098,20147953,론 서바이버 ,9.03,"190,611 명"
8099,20147649,벨과 세바스찬,9.10,"4,156 명"
8118,20147848,꼬마영웅 경찰차 프로디2,7.93,"25,149 명"
8150,20147790,캡틴 아메리카: 윈터 솔져,8.93,"3,963,964 명"
8166,20147694,슈퍼미니,8.24,"48,944 명"
8169,20147883,블러드 타이즈 ,7.88,"5,828 명"
8176,20129787,방황하는 칼날,7.72,"989,881 명"
8185,20136736,초원의 왕 도제,8.01,"21,424 명"
8187,20148168,아바타 정글의 비밀,4.63,"12,876 명"
8209,20147690,아이스맨,"독일, 이탈리아, 오스트리아","10,910 명"
8215,20147612,쓰리데이즈 투 킬,7.35,"229,644 명"
8219,20147968,선 오브 갓,7.97,"329,286 명"
8225,20134585,가시,일본,"142,170 명"
8228,20147678,어거스트: 가족의 초상,7.82,"72,377 명"
8237,20124047,백프로,5.33,"37,909 명"
8239,20147971,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,8.51,"84,306 명"
8248,20147509,세이빙 미스터 뱅크스,8.55,"12,957 명"
8288,20147948,페이스 오브 러브,8.67,"80,699 명"
8302,20147609,헤라클레스 : 레전드 비긴즈,6.32,"221,341 명"
8362,20147283,다이버전트,7.77,"103,556 명"
8364,20148232,니드 포 스피드,7.87,"105,340 명"
8369,20147679,필로미나의 기적,8.51,"38,053 명"
8375,20134122,한공주,8.81,"225,839 명"
8378,20148208,그랜드 피아노,브라질,"20,961 명"
8430,20135661,어메이징 스파이더맨 2,7.76,"4,168,353 명"
8438,20136805,파가니니: 악마의 바이올리니스트,8.18,"36,808 명"
8447,20133601,천재 강아지 미스터 피바디,8.41,"385,552 명"
8449,20138962,리오 2,8.30,"765,961 명"
8468,20139183,역린,7.07,"3,849,700 명"
8488,20147683,라스트베가스,8.64,"177,938 명"
8497,20139164,표적,7.48,"2,841,884 명"
8518,20148277,몬스터 왕국,6.21,"37,816 명"
8519,20147880,위크엔드 인 파리,8.07,"34,123 명"
8579,20133322,인간중독,6.70,"1,441,990 명"
8587,20134601,디태치먼트,8.87,"12,736 명"
8589,20148615,히트맨 NO.2 : 살인면허,4.57,"3,067 명"
8598,20130442,끝까지 간다,프랑스,"3,450,305 명"
8628,20134586,도희야,7.53,"106,781 명"
8629,20148129,더 바디,"러시아 연방, 스페인","66,779 명"
8642,20130522,트랜센던스,7.97,"696,412 명"
8651,20147874,고질라,일본,"709,734 명"
8659,20148967,침입자들 : 로봇의 역습,4.61,"3,672 명"
8699,19548002,사브리나,스페인,"1,061 명"
8708,20147669,엑스맨: 데이즈 오브 퓨처 패스트,8.88,"4,313,871 명"
8718,20148748,그녀,한국,"368,430 명"
8719,20148447,일대일,한국,0
8729,20148835,케이트 맥콜,6.80,"3,014 명"
8779,20148686,오큘러스,이란,"279,488 명"
8792,20148383,말레피센트,8.24,"1,444,952 명"
8796,20148648,극장판 루팡 3세 VS 명탐정 코난,8.81,"225,842 명"
8806,20132482,우는 남자,6.00,"603,409 명"
8836,20136062,하이힐,일본,"341,606 명"
8841,20148807,엣지 오브 투모로우,8.94,"4,699,307 명"
8859,20148347,마이 블랭키,6.89,"32,627 명"
8909,20147684,리스본행 야간열차,8.30,"78,733 명"
8922,20134591,황제를 위하여,6.06,"592,367 명"
8936,20133641,경주,6.78,"63,546 명"
8938,20148834,베스트 오퍼,8.68,"48,033 명"
8939,20148847,밀리언 웨이즈,7.28,"17,546 명"
8993,20148795,미녀와 야수,8.78,"5,138,328 명"
8994,20148877,그레이스 오브 모나코,8.03,"237,219 명"
8995,20148728,창문 넘어 도망친 100세 노인,7.82,"241,602 명"
8998,20148994,님포매니악 볼륨1,7.62,"60,386 명"
9038,20149155,극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,8.23,"15,382 명"
9060,20122021,트랜스포머: 사라진 시대,6.59,"5,295,836 명"
9068,20147970,그레이트 뷰티,7.92,"43,420 명"
9079,20148602,이브 생 로랑,7.39,"21,298 명"
9097,20149307,로코왕국의 전설: 엘프킹을 찾아서,6.35,"16,070 명"
9128,20139201,신의 한 수,8.03,"2,159,081 명"
9134,20147931,소녀괴담,5.47,"481,696 명"
9145,20149271,나쁜 이웃들 ,7.27,"42,335 명"
9148,20149343,님포매니악 볼륨2,7.75,"24,485 명"
9169,20149286,로보싸커,7.33,0
9188,20149288,더 시그널,6.40,"106,081 명"
9202,20148745,좋은 친구들,7.79,"407,323 명"
9208,20149313,드래프트 데이,8.34,"10,119 명"
9210,20148973,혹성탈출: 반격의 서막,8.53,"4,002,560 명"
9218,20149767,파이어 : 테러와의 전쟁,3.11,"5,559 명"
9219,20149270,테레즈 라캥,7.40,"14,510 명"
9238,20149494,비포 : 치즈와 초콜릿을 찾아서,5.87,0
9256,20123501,군도: 민란의 시대,6.93,"4,775,811 명"
9259,20149377,파이어스톰,5.90,"6,682 명"
9272,20149394,주온 : 끝의 시작,6.33,"410,644 명"
9275,20149511,분신사바 2,4.02,"79,017 명"
9287,20136926,프란시스 하,8.11,"73,379 명"
9299,20138221,산타바바라,7.27,"16,626 명"
9306,20149462,천하무적 키코리키,6.67,"21,889 명"
9326,20129370,명량,5.02,"17,615,658 명"
9338,20131248,드래곤 길들이기 2,8.92,"2,999,906 명"
9347,20136064,해적: 바다로 간 산적,8.28,"8,666,208 명"
9357,20148830,마담 프루스트의 비밀정원,8.92,"162,001 명"
9359,20140081,밀애,5.28,"4,770 명"
9396,20134082,해무(海霧),6.83,0
9419,20130929,스톤,8.11,"18,061 명"
9423,20149317,가디언즈 오브 갤럭시,8.94,"2,736,060 명"
9424,20149758,터키,8.18,"113,795 명"
9427,20149846,"안녕, 헤이즐",8.61,"749,146 명"
9429,20149459,어떤 만남,7.63,"27,340 명"
9459,20148997,동경가족,일본,"31,575 명"
9477,20149629,비긴 어게인,한국,"3,461,855 명"
9484,20149567,명탐정 코난 : 이차원의 저격수,8.72,"398,761 명"
9486,20149568,허큘리스,7.34,"86,553 명"
9499,20138501,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,7.83,"21,939 명"
9539,20147950,유아 넥스트,7.69,"12,714 명"
9556,20149978,비행기 2: 소방구조대,7.93,"311,456 명"
9559,20041524,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,8.04,"74,346 명"
9624,20147928,터널 3D,5.73,"81,008 명"
9625,20149818,익스펜더블 3,7.96,"152,033 명"
9627,20149099,더 기버: 기억전달자,8.01,"107,567 명"
9629,20149441,내 연애의 기억,6.78,"46,775 명"
9637,20149931,인보카머스,6.97,"69,786 명"
9639,20149591,매직 인 더 문라이트,7.65,"77,308 명"
9678,20134804,타짜-신의 손,7.25,"4,015,361 명"
9695,20149140,브릭 맨션: 통제불능 범죄구역,6.89,"74,912 명"
9696,20149831,더 퍼지 : 거리의 반란,7.03,"59,881 명"
9700,20149811,인투 더 스톰,8.23,"2,078,825 명"
9704,20148132,닌자터틀,8.35,"235,207 명"
9709,20134594,두근두근 내 인생,7.06,"1,624,601 명"
9761,20135656,루시,네덜란드,"1,974,893 명"
9765,20149930,스텝 업: 올 인,7.98,"565,049 명"
9768,20149248,선샤인 온 리스,6.97,"26,815 명"
9779,20149970,마야,프랑스,"265,697 명"
9799,20140181,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,8.58,"168,172 명"
9848,20134069,씬 시티: 다크히어로의 부활,6.72,"83,182 명"
9889,20141401,쎄븐 플로어,5.71,"1,355 명"
9899,20140431,메이즈 러너,7.84,"2,299,751 명"
9913,20140524,툼스톤,7.57,"242,816 명"
9918,20149257,설계,4.59,"45,726 명"
9983,20140247,베리 굿 걸,7.17,"103,625 명"
9987,20140196,프랭크,캐나다,"53,188 명"
9988,20140762,지골로 인 뉴욕,7.61,"30,140 명"
10026,20134589,제보자,8.32,"1,755,181 명"
10046,20141113,애나벨,7.29,"481,766 명"
10049,20136863,마담 뺑덕,6.65,"471,248 명"
10051,20135386,슬로우 비디오,7.77,"1,169,562 명"
10057,20141281,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",8.46,"215,046 명"
10058,20141028,정글히어로,말레이지아,"72,047 명"
10059,20147691,초콜렛 도넛,8.99,"34,118 명"
10069,20149838,유고와 라라 : 신비의 숲 어드벤처,8.26,"26,302 명"
10096,20147930,나의 사랑 나의 신부,7.97,"2,141,155 명"
10111,20141261,드라큘라: 전설의 시작,8.03,"1,321,751 명"
10116,20148927,맨홀,3.75,"133,663 명"
10193,20140458,노벰버 맨,7.47,"252,444 명"
10194,20149984,컬러풀 웨딩즈,8.24,"190,470 명"
10239,20148626,나의 독재자,7.43,"386,074 명"
10259,20140459,킬 유어 달링,8.25,"33,157 명"
10260,20140425,나를 찾아줘,7.01,"645,082 명"
10261,20148842,우리는 형제입니다,7.18,"970,373 명"
10263,20139964,레드카펫,프랑스,"316,953 명"
10266,20149910,보이후드,8.74,"191,292 명"
10267,20142110,타임 투 러브,8.14,"23,597 명"
10279,20142021,마인드스케이프,7.15,"30,257 명"
10307,20136802,카트,8.62,"814,676 명"
10335,20141961,내가 잠들기 전에,7.25,"50,098 명"
10339,20141441,앵그리스트 맨,8.49,"30,673 명"
10369,20142844,본타: 땅콩왕국의 전설,5.82,"18,022 명"
10393,20149120,인터스텔라,미국,"10,309,432 명"
10401,20147129,패션왕,5.27,"594,876 명"
10408,20142798,"제자, 옥한흠",9.05,"50,392 명"
10409,20142481,왓 이프,미국,"27,818 명"
10417,20142301,박스트롤,8.37,"102,682 명"
10448,20142321,울브스,스페인,"43,613 명"
10458,20136312,아빠를 빌려드립니다,7.83,"172,652 명"
10473,20142023,아더 우먼,7.40,"78,978 명"
10476,20140694,퓨리,8.67,"1,362,114 명"
10478,20141001,거인,독일,"24,020 명"
10498,20143325,토마스와 친구들: 잃어버린 왕관,8.38,"15,202 명"
10529,20142843,꾸뻬씨의 행복여행,8.18,"126,250 명"
10536,20140402,헝거게임: 모킹제이,7.54,"854,407 명"
10538,20141111,"님아, 그 강을 건너지 마오",9.23,"4,802,416 명"
10546,20134590,빅매치,6.65,"1,177,438 명"
10548,20148627,누구에게나 찬란한,9.37,"21,002 명"
10558,20010238,메멘토,8.81,"26,712 명"
10559,20143081,그 사람 그 사랑 그 세상,9.07,"42,397 명"
10565,20143565,부니 베어: 롤라 구출 대모험,8.03,"45,341 명"
10587,20137048,국제시장,9.01,"14,263,940 명"
10589,20130573,봄,8.71,"14,780 명"
10606,20149287,덤 앤 더머 투,6.74,"192,726 명"
10608,20141704,목숨,9.16,"38,771 명"
10618,20134588,덕수리 5형제,6.94,"210,777 명"
10619,20142741,혼스,7.30,0
10668,20140842,엑소더스: 신들과 왕들,7.09,"1,511,845 명"
10686,20040756,하울의 움직이는 성,9.09,"2,614,043 명"
10687,20143574,GROW: 인피니트의 리얼 청춘 라이프,9.04,"23,926 명"
10708,20143314,꼬마 잠수함 올리 2,6.64,"33,668 명"
10743,20143543,사랑에 대한 모든 것,7.93,"278,087 명"
10744,20142421,"러브, 로지",7.66,"296,748 명"
10769,20143639,뽀로로 극장판 눈요정 마을 대모험,7.17,"258,657 명"
10809,20149265,기술자들,7.09,"2,564,340 명"
10810,20140226,호빗: 다섯 군대 전투,8.49,"2,836,774 명"
10816,20147176,상의원,7.84,"790,370 명"
10827,20141621,마미,덴마크,"59,037 명"
10829,20141614,더 테너 리리코 스핀토,8.20,"50,514 명"
10846,20134436,쥬로링 동물탐정 극장판,8.21,"25,391 명"
10867,20130574,개를 훔치는 완벽한 방법,9.03,"306,743 명"
10885,20143422,숲속으로,4.93,"341,882 명"
10886,20143344,눈의 여왕 2: 트롤의 마법거울,7.65,"618,730 명"
10888,20143602,일곱난쟁이,7.85,"227,586 명"
10949,20144523,패딩턴,9.10,"339,014 명"
10951,20149859,마다가스카의 펭귄,8.69,"1,661,388 명"
10952,20143642,테이큰 3,7.87,"2,006,561 명"
11024,20149948,언브로큰,8.41,"256,801 명"
11027,20147947,워킹걸,6.48,"151,584 명"
11029,20144481,타임 패러독스,8.23,"82,429 명"
11091,20142407,오늘의 연애,6.64,"1,891,993 명"
11092,20131262,허삼관,7.52,"956,103 명"
11093,20143541,박물관이 살아있다 : 비밀의 무덤,8.07,"1,101,678 명"
11094,20143754,아메리칸 스나이퍼,8.70,"345,759 명"
11097,20142962,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,8.10,"233,347 명"
11160,20136888,강남 1970,7.14,"2,192,276 명"
11162,20149951,빅 히어로,9.12,"2,801,949 명"
11166,20143253,존 윅,8.04,"118,227 명"
11167,20145521,엑스 마키나,7.61,"78,521 명"
11219,20145021,와일드,독일,"83,761 명"
11233,20148553,내 심장을 쏴라,7.72,"387,409 명"
11235,20144102,워터 디바이너,7.94,"136,275 명"
11237,20145041,더 이퀄라이저,8.53,"82,779 명"
11238,20144507,빅 아이즈,8.26,"85,386 명"
11310,20148188,쎄시봉,6.11,"1,715,370 명"
11311,20149037,주피터 어센딩,6.01,"309,842 명"
11315,20020168,센과 치히로의 행방불명,9.38,"159,757 명"
11318,20156441,최강전사 미니특공대 : 새로운 악당의 습격,7.56,"155,503 명"
11319,20155601,바다 탐험대 옥토넛 스페셜,7.13,"52,381 명"
11366,20145141,위플래쉬,8.78,"1,589,048 명"
11370,20149570,조선명탐정 : 사라진 놉의 딸,7.67,"3,872,015 명"
11371,20140110,킹스맨 : 시크릿 에이전트,8.82,"6,129,681 명"
11375,20142561,7번째 아들,4.94,"92,598 명"
11385,20144322,도라에몽 : 스탠 바이 미,8.75,"504,153 명"
11387,20155881,오즈의 마법사: 돌아온 도로시,7.96,"298,482 명"
11388,20155761,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,8.24,"257,381 명"
11432,20141962,이미테이션 게임,8.79,"1,744,213 명"
11445,20149401,스폰지밥 3D,8.37,"325,016 명"
11448,20145242,모데카이,5.49,"78,070 명"
11513,20147613,그레이의 50가지 그림자,7.95,"189,620 명"
11514,20156161,백 투 더 비기닝,7.98,"266,610 명"
11525,20144621,기생수 파트1,7.71,"187,310 명"
11526,20145102,포커스,7.07,"91,164 명"
11569,20145103,나이트 크롤러,8.42,"56,299 명"
11591,20136063,순수의 시대,6.30,"470,308 명"
11592,20148841,헬머니,6.81,"523,871 명"
11593,20144801,버드맨,미국,"206,241 명"
11596,20145085,세인트 빈센트,8.47,"86,415 명"
11660,20148461,살인의뢰,6.71,"855,980 명"
11662,20156402,채피,7.77,"573,661 명"
11664,20141602,소셜포비아,7.89,"251,645 명"
11668,20156704,드래곤 블레이드,5.83,"57,377 명"
11669,20148845,스물,7.58,"3,044,859 명"
11699,20156841,신데렐라,미국,"716,491 명"
11733,20157041,런 올 나이트,7.88,"289,534 명"
11738,20157001,트레이서,6.69,"26,263 명"
11758,20156904,추억의 마니,8.87,"37,228 명"
11778,20133681,태양을 쏴라,3.98,"17,444 명"
11779,20144461,인서전트,6.93,"282,707 명"
11807,20158082,투캅스 인 파리,6.33,"6,786 명"
11817,20157421,뷰티풀 라이,9.03,"15,050 명"
11860,20143580,분노의 질주: 더 세븐,9.11,"3,250,439 명"
11866,20157121,송 원,6.25,"48,396 명"
11867,20140703,장수상회,8.90,"1,166,887 명"
11875,20157394,팔로우,미국,"33,545 명"
11878,20157587,파울볼,6.72,"31,137 명"
11879,20158504,맛있는 택배,6.11,"6,276 명"
11897,20157584,윈드랜드,8.10,"24,936 명"
11934,20141085,한 번 더 해피엔딩,8.39,"45,530 명"
11935,20145281,코블러,7.45,"41,444 명"
11943,20133682,화장,6.61,"142,609 명"
11946,20142884,엘리노어 릭비: 그 남자 그 여자,7.64,"47,813 명"
11949,20158643,뱀파이어 아카데미,6.88,"7,649 명"
11967,20158091,유고와 라라: 하늘고래와 구름섬 대모험,8.29,"40,374 명"
11989,20157904,더 건맨,6.78,"107,505 명"
12014,20156977,위자,7.14,"331,886 명"
12018,20157986,검은손,3.23,"11,650 명"
12019,20157782,신은 죽지 않았다,8.32,"92,806 명"
12059,20149266,차이나타운,4.68,"1,472,147 명"
12068,20148493,어벤져스: 에이지 오브 울트론,8.31,"10,494,840 명"
12076,20157021,"땡큐, 대디",8.21,"33,066 명"
12083,20156321,약장수,8.61,"44,216 명"
12086,20158461,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,9.10,"150,226 명"
12087,20158841,타이거 마운틴,5.43,"4,930 명"
12088,20158069,노아의 방주: 남겨진 녀석들,8.28,"220,189 명"
12089,20143512,위험한 상견례 2,6.65,"472,693 명"
12146,20145042,스틸 앨리스,8.52,"112,990 명"
12153,20158428,빌리와 용감한 녀석들 3,8.18,"98,495 명"
12158,20158621,스파이,8.80,0
12159,20100211,다이노 타임,8.42,"285,084 명"
12219,20149569,악의 연대기,한국,1 명
12222,20158704,언프렌디드: 친구삭제,6.13,"219,892 명"
12223,20149062,연애의 맛,7.36,"214,539 명"
12225,20158561,기생수 파트2,7.48,"63,560 명"
12227,20071066,말할 수 없는 비밀,9.27,"171,514 명"
12268,20142402,간신,6.91,"1,110,274 명"
12286,20144741,매드 맥스: 분노의 도로,8.78,"3,884,130 명"
12294,20158670,위아영,7.38,"62,124 명"
12298,20158703,트래쉬,스페인,"25,532 명"
12365,20140145,홈,영국,"8,257 명"
12376,20130566,무뢰한,7.86,"415,510 명"
12419,20159063,트립 투 이탈리아,6.10,"21,207 명"
12425,20159748,투모로우랜드,7.28,"265,810 명"
12428,20158981,하나와 앨리스: 살인사건,8.45,"14,518 명"
12429,20159101,써드 퍼슨 - 감독판,0,0
12436,20159141,피치 퍼펙트: 언프리티 걸즈,7.01,"75,598 명"
12438,20136869,은밀한 유혹,5.32,"145,697 명"
12439,20159442,차일드 44,8.16,"21,604 명"
12448,20159655,사이코패스,8.99,0
12478,20134798,연평해전,9.00,"6,045,049 명"
12490,20144682,샌 안드레아스,7.61,"1,716,455 명"
12507,20159573,령 : 저주받은 사진,5.11,"36,371 명"
12508,20159623,에벌리,4.63,"3,223 명"
12549,20148855,극비수사,8.09,"2,860,786 명"
12567,20098169,쥬라기 월드,8.00,0
12576,20150841,카이트,4.60,"11,287 명"
12589,20159582,엘리펀트 송,7.58,"14,893 명"
12597,20140207,꼬마 유령,7.56,"15,923 명"
12618,20141224,경성학교: 사라진 소녀들,6.12,"356,436 명"
12619,20147803,한여름의 판타지아,7.81,"36,981 명"
12636,20142856,나의 절친 악당들,4.81,"133,553 명"
12645,20136057,소수의견,7.97,"383,582 명"
12646,20156970,심야식당,8.57,0
12648,20150563,베스트 오브 미,8.43,"13,399 명"
12715,20156749,19곰 테드 2,7.36,"170,647 명"
12716,20159223,데모닉,미국,"40,643 명"
12736,20159221,정글번치: 너구리 해적단과 보물지도,7.13,"38,219 명"
12780,20141384,터미네이터 제니시스,7.69,"3,240,370 명"
12786,20159001,라자루스,5.67,"27,445 명"
12788,20155874,미라클 벨리에,8.85,"122,469 명"
12789,20159161,마돈나,인도네시아,"18,276 명"
12799,20148844,손님,한국,"828,025 명"
